site_id,therapeutic_area,indication,planned_start_date,site_startup_days,fpi_date,enrollment_months,target_enrollment,actual_enrollment,avg_enroll_rate_per_month,screen_fail_rate,protocol_deviation_rate,data_entry_lag_days,retention_rate,competing_trials_same_ta
SITE1007,Oncology,Melanoma,2017-11-05,56,2017-12-31,4,26,26,6.43,0.24,0.01,1,0.9,0
SITE1007,Oncology,NSCLC,2022-10-15,69,2022-12-23,24,6,4,0.2,0.16,0.04,3,0.8,0
SITE1007,Cardiology,ACS,2022-10-12,67,2022-12-18,8,36,33,5.23,0.09,0.05,0,0.93,2
SITE1008,Oncology,Prostate,2019-12-18,70,2020-02-26,11,58,59,6.06,0.24,0.0,10,0.93,2
SITE1008,Oncology,NSCLC,2018-05-22,56,2018-07-17,8,53,49,7.91,0.18,0.09,3,0.8,1
SITE1008,Neurology,Epilepsy,2020-09-27,61,2020-11-27,14,34,28,2.25,0.08,0.07,6,0.92,0
SITE1008,Oncology,CRC,2021-01-09,57,2021-03-07,13,8,8,0.74,0.38,0.03,5,0.84,3
SITE1008,Oncology,Breast Cancer,2018-06-06,56,2018-08-01,7,11,6,2.13,0.22,0.07,7,0.81,1
SITE1009,Oncology,Breast Cancer,2017-03-21,90,2017-06-19,13,14,13,0.2,0.04,0.05,5,0.71,2
SITE1009,Endocrinology,T2D,2022-10-09,59,2022-12-07,16,25,25,2.26,0.23,0.09,2,0.95,3
SITE1009,Oncology,Prostate,2023-12-16,75,2024-02-29,10,46,50,5.69,0.1,0.12,6,0.98,1
SITE1009,Oncology,Breast Cancer,2023-09-04,108,2023-12-21,21,17,14,0.58,0.34,0.05,4,0.94,4
SITE1009,Oncology,CRC,2017-01-06,28,2017-02-03,16,47,43,3.39,0.27,0.06,3,0.9,2
SITE1009,Endocrinology,Obesity,2022-11-16,53,2023-01-08,7,20,22,3.15,0.21,0.09,11,0.76,4
SITE1009,Oncology,Prostate,2018-05-06,78,2018-07-23,11,9,17,0.64,0.24,0.0,2,0.83,1
SITE1010,Cardiology,HF,2024-05-17,73,2024-07-29,6,11,11,2.52,0.12,0.04,6,0.98,1
SITE1010,Cardiology,AF,2022-05-17,56,2022-07-12,9,27,27,4.04,0.03,0.02,5,0.87,2
SITE1010,Endocrinology,T2D,2019-02-05,59,2019-04-05,11,8,1,0.5,0.13,0.08,8,0.89,3
SITE1010,Neurology,MS,2019-12-18,76,2020-03-03,10,49,33,5.42,0.18,0.08,10,0.94,2
SITE1010,Oncology,Melanoma,2021-12-25,71,2022-03-06,8,10,8,1.83,0.29,0.05,5,0.92,4
SITE1010,Oncology,NSCLC,2024-01-07,43,2024-02-19,6,21,21,3.92,0.26,0.02,6,0.87,3
SITE1011,Cardiology,ACS,2019-08-05,33,2019-09-07,12,6,4,0.48,0.24,0.08,6,0.99,3
SITE1011,Neurology,Epilepsy,2022-08-21,46,2022-10-06,7,31,28,4.75,0.11,0.03,0,0.94,1
SITE1011,Oncology,Breast Cancer,2024-11-05,72,2025-01-16,13,24,27,0.92,0.31,0.05,6,0.91,4
SITE1011,Oncology,Prostate,2022-10-09,51,2022-11-29,8,16,19,1.56,0.26,0.04,9,0.76,2
SITE1011,Neurology,MS,2018-07-28,77,2018-10-13,4,28,25,6.74,0.28,0.05,4,0.99,0
SITE1011,Oncology,CRC,2019-03-23,47,2019-05-09,10,56,56,4.75,0.06,0.07,6,0.94,0
SITE1012,Cardiology,HF,2017-07-22,60,2017-09-20,8,43,43,6.54,0.26,0.06,11,0.88,0
SITE1012,Oncology,Melanoma,2022-11-11,75,2023-01-25,15,58,61,4.11,0.25,0.0,7,0.92,2
SITE1012,Oncology,Breast Cancer,2023-11-06,63,2024-01-08,17,34,32,3.42,0.26,0.02,3,0.75,3
SITE1012,Oncology,Melanoma,2017-07-16,88,2017-10-12,10,49,44,5.02,0.14,0.01,7,0.81,1
SITE1012,Endocrinology,Obesity,2018-04-24,62,2018-06-25,11,52,46,3.74,0.23,0.09,4,0.99,3
SITE1012,Neurology,MS,2022-04-25,56,2022-06-20,9,29,31,2.33,0.27,0.03,9,0.89,0
SITE1012,Endocrinology,T2D,2019-03-15,56,2019-05-10,10,48,48,4.72,0.22,0.0,7,0.97,1
SITE1013,Oncology,Breast Cancer,2018-02-27,70,2018-05-08,23,9,16,0.59,0.13,0.06,12,0.96,2
SITE1013,Endocrinology,Obesity,2020-04-13,82,2020-07-04,13,52,46,2.47,0.13,0.03,8,0.78,0
SITE1013,Oncology,Prostate,2022-01-09,56,2022-03-06,9,42,36,3.73,0.15,0.09,3,0.92,3
SITE1013,Oncology,CRC,2017-09-12,77,2017-11-28,13,23,23,0.74,0.17,0.06,6,0.89,2
SITE1013,Endocrinology,Obesity,2017-07-19,49,2017-09-06,3,23,25,7.95,0.13,0.03,9,0.86,1
SITE1013,Oncology,CRC,2024-04-28,61,2024-06-28,10,26,20,2.97,0.2,0.04,0,0.79,3
SITE1014,Oncology,Melanoma,2017-05-02,71,2017-07-12,9,23,17,2.13,0.24,0.09,7,0.8,0
SITE1014,Oncology,Prostate,2021-03-27,40,2021-05-06,6,27,24,5.44,0.29,0.09,7,0.91,4
SITE1014,Neurology,MS,2020-02-05,82,2020-04-27,9,50,50,5.5,0.11,0.01,4,0.84,3
SITE1014,Neurology,MS,2024-03-11,77,2024-05-27,9,24,18,2.47,0.11,0.0,3,0.89,2
SITE1014,Cardiology,ACS,2021-01-25,42,2021-03-08,9,31,29,3.73,0.25,0.03,14,0.82,1
SITE1014,Oncology,CRC,2019-06-07,95,2019-09-10,9,20,18,2.15,0.39,0.07,3,0.76,4
SITE1015,Oncology,CRC,2017-05-23,56,2017-07-18,5,51,44,9.5,0.22,0.05,3,0.82,3
SITE1015,Oncology,Melanoma,2018-05-07,93,2018-08-08,24,39,37,1.88,0.04,0.09,8,0.85,0
SITE1015,Neurology,Epilepsy,2023-11-08,51,2023-12-29,9,24,18,3.58,0.12,0.06,7,0.86,0
SITE1015,Oncology,Melanoma,2019-10-08,74,2019-12-21,14,25,23,2.3,0.04,0.04,2,0.87,4
SITE1015,Oncology,CRC,2022-07-25,76,2022-10-09,3,9,8,3.32,0.25,0.04,14,0.92,0
SITE1016,Cardiology,HF,2018-06-12,48,2018-07-30,7,37,36,5.4,0.27,0.06,14,0.97,0
SITE1016,Oncology,Melanoma,2020-12-01,33,2021-01-03,10,58,50,6.09,0.26,0.05,10,0.95,3
SITE1016,Endocrinology,T2D,2023-07-28,59,2023-09-25,13,27,24,2.01,0.24,0.03,1,0.78,4
SITE1017,Oncology,NSCLC,2021-03-27,59,2021-05-25,16,26,22,2.83,0.24,0.02,1,0.84,4
SITE1017,Cardiology,AF,2020-07-05,73,2020-09-16,6,58,57,9.79,0.19,0.03,4,0.95,3
SITE1017,Oncology,Melanoma,2024-07-15,71,2024-09-24,11,54,45,4.74,0.22,0.04,4,0.99,3
SITE1018,Endocrinology,T2D,2018-04-10,35,2018-05-15,10,31,23,3.06,0.22,0.0,3,0.87,0
SITE1018,Oncology,Breast Cancer,2024-09-02,77,2024-11-18,11,42,39,2.97,0.16,0.06,8,0.85,4
SITE1018,Oncology,Breast Cancer,2021-07-13,69,2021-09-20,17,19,18,0.89,0.17,0.1,4,0.81,1
SITE1019,Oncology,Prostate,2024-02-14,51,2024-04-05,13,55,47,4.85,0.13,0.05,7,0.9,2
SITE1019,Endocrinology,Obesity,2017-04-18,104,2017-07-31,8,16,19,3.29,0.12,0.0,7,0.76,0
SITE1020,Oncology,NSCLC,2019-02-27,70,2019-05-08,4,28,27,6.72,0.19,0.04,6,0.92,0
SITE1020,Neurology,Epilepsy,2024-09-07,45,2024-10-22,16,24,26,0.39,0.36,0.08,5,0.93,3
SITE1021,Oncology,NSCLC,2024-11-03,70,2025-01-12,15,59,55,4.0,0.34,0.0,4,0.8,3
SITE1021,Oncology,Melanoma,2018-04-07,66,2018-06-12,13,31,28,2.57,0.29,0.04,8,0.78,1
SITE1021,Neurology,Epilepsy,2022-11-09,86,2023-02-03,11,39,39,4.01,0.34,0.01,1,0.93,1
SITE1021,Oncology,Melanoma,2023-01-12,63,2023-03-16,14,16,16,1.78,0.23,0.04,10,0.9,2
SITE1021,Oncology,Prostate,2018-03-13,28,2018-04-10,9,10,5,1.28,0.09,0.02,9,0.99,1
SITE1022,Endocrinology,T2D,2017-11-02,53,2017-12-25,3,23,18,7.5,0.27,0.0,3,0.95,1
SITE1022,Oncology,Breast Cancer,2019-01-13,70,2019-03-24,13,24,24,1.69,0.03,0.08,4,0.89,0
SITE1022,Cardiology,HF,2023-09-21,52,2023-11-12,11,38,40,3.01,0.09,0.11,9,0.85,4
SITE1022,Oncology,NSCLC,2021-03-31,57,2021-05-27,11,13,14,1.55,0.19,0.04,3,0.86,0
SITE1022,Cardiology,HF,2022-12-31,61,2023-03-02,6,44,47,6.79,0.23,0.02,8,0.81,2
SITE1023,Oncology,NSCLC,2022-10-20,44,2022-12-03,8,56,50,8.22,0.04,0.05,0,0.87,1
SITE1023,Endocrinology,Obesity,2021-05-24,66,2021-07-29,7,41,31,6.1,0.11,0.06,4,0.78,1
SITE1023,Oncology,Breast Cancer,2022-05-28,71,2022-08-07,9,6,11,0.2,0.03,0.08,4,0.77,0
SITE1023,Neurology,Epilepsy,2022-03-20,70,2022-05-29,4,20,17,6.2,0.08,0.05,4,0.9,0
SITE1024,Oncology,Prostate,2021-04-30,56,2021-06-25,13,41,34,2.69,0.21,0.07,10,0.91,3
SITE1024,Neurology,MS,2017-05-08,88,2017-08-04,18,6,2,0.53,0.14,0.05,5,0.87,0
SITE1024,Oncology,NSCLC,2022-11-13,70,2023-01-22,12,43,42,3.88,0.08,0.04,5,0.82,4
SITE1024,Endocrinology,T2D,2017-07-30,78,2017-10-16,3,56,55,10.0,0.13,0.05,6,0.82,4
SITE1024,Oncology,NSCLC,2020-12-23,52,2021-02-13,10,54,45,4.4,0.18,0.01,9,0.88,3
SITE1025,Oncology,NSCLC,2024-05-04,78,2024-07-21,5,19,17,3.96,0.43,0.04,5,0.91,3
SITE1025,Oncology,CRC,2022-03-08,40,2022-04-17,9,40,40,4.03,0.18,0.05,12,0.88,0
SITE1026,Oncology,NSCLC,2018-05-24,35,2018-06-28,6,23,16,4.85,0.11,0.03,8,0.99,2
SITE1026,Neurology,MS,2021-09-21,76,2021-12-06,22,33,28,0.98,0.18,0.05,2,0.81,2
SITE1026,Endocrinology,T2D,2022-05-08,59,2022-07-06,11,50,43,3.54,0.17,0.05,0,0.91,0
SITE1026,Oncology,CRC,2020-10-10,57,2020-12-06,13,32,26,2.12,0.1,0.09,11,0.91,3
SITE1026,Oncology,NSCLC,2019-05-07,84,2019-07-30,5,33,39,6.8,0.06,0.06,1,0.84,1
SITE1026,Oncology,NSCLC,2022-04-17,79,2022-07-05,7,9,4,0.87,0.07,0.04,0,0.91,3
SITE1026,Oncology,Prostate,2021-06-02,79,2021-08-20,4,12,8,2.23,0.38,0.06,4,0.94,4
SITE1026,Oncology,Breast Cancer,2024-11-22,100,2025-03-02,10,24,19,1.91,0.17,0.05,1,0.99,2
SITE1026,Oncology,Prostate,2017-07-14,67,2017-09-19,6,20,17,4.27,0.15,0.09,3,0.74,4
SITE1026,Endocrinology,T2D,2017-06-29,60,2017-08-28,10,12,13,2.32,0.19,0.01,5,0.85,0
SITE1026,Oncology,CRC,2017-08-01,89,2017-10-29,13,59,44,4.53,0.21,0.01,1,0.85,4
SITE1027,Cardiology,AF,2024-09-30,52,2024-11-21,11,12,14,0.87,0.17,0.1,12,0.77,3
SITE1027,Endocrinology,Obesity,2020-09-23,96,2020-12-28,9,45,40,3.96,0.34,0.04,6,0.81,1
SITE1027,Neurology,Epilepsy,2018-12-19,55,2019-02-12,8,51,55,5.78,0.15,0.09,8,0.81,1
SITE1027,Cardiology,ACS,2024-07-25,85,2024-10-18,10,12,14,1.35,0.12,0.06,2,0.99,0
SITE1027,Endocrinology,T2D,2022-09-16,66,2022-11-21,8,7,8,1.18,0.25,0.07,5,0.86,0
SITE1027,Neurology,Epilepsy,2019-03-17,89,2019-06-14,13,46,39,3.22,0.16,0.05,0,0.84,2
SITE1027,Oncology,Prostate,2023-10-12,67,2023-12-18,10,42,38,4.97,0.17,0.03,10,0.99,3
SITE1028,Cardiology,HF,2024-04-15,54,2024-06-08,5,44,38,9.19,0.31,0.09,4,0.73,3
SITE1028,Oncology,CRC,2021-04-07,102,2021-07-18,13,47,47,4.23,0.16,0.06,7,0.9,3
SITE1028,Cardiology,HF,2023-12-08,79,2024-02-25,3,16,19,5.36,0.24,0.06,8,0.89,2
SITE1028,Neurology,Epilepsy,2023-07-11,64,2023-09-13,4,35,35,8.03,0.26,0.04,9,0.79,0
SITE1028,Oncology,Melanoma,2019-08-19,61,2019-10-19,9,14,13,2.25,0.19,0.11,2,0.84,3
SITE1028,Endocrinology,T2D,2022-03-24,91,2022-06-23,8,22,16,3.37,0.13,0.06,6,0.73,0
SITE1028,Oncology,Melanoma,2019-03-19,45,2019-05-03,8,48,44,6.55,0.15,0.04,6,0.74,2
SITE1029,Neurology,MS,2023-07-06,42,2023-08-17,4,29,25,7.02,0.24,0.08,3,0.85,4
SITE1029,Neurology,MS,2023-11-04,52,2023-12-26,14,36,35,2.06,0.25,0.07,6,0.76,0
SITE1029,Neurology,Epilepsy,2022-07-01,28,2022-07-29,11,56,52,5.26,0.26,0.03,9,0.92,4
SITE1029,Oncology,NSCLC,2020-09-04,80,2020-11-23,6,24,23,4.02,0.25,0.09,5,0.95,4
SITE1029,Endocrinology,Obesity,2020-01-03,67,2020-03-10,10,36,35,3.46,0.11,0.03,8,0.84,4
SITE1030,Cardiology,AF,2022-01-15,59,2022-03-15,13,59,64,3.74,0.18,0.07,6,0.89,1
SITE1030,Cardiology,ACS,2018-01-01,103,2018-04-14,12,8,4,0.87,0.12,0.06,3,0.85,4
SITE1030,Oncology,CRC,2022-08-28,81,2022-11-17,10,56,54,4.43,0.22,0.09,5,0.94,4
SITE1030,Oncology,NSCLC,2023-09-08,100,2023-12-17,11,38,43,3.81,0.18,0.06,15,0.99,3
SITE1030,Cardiology,AF,2020-10-06,87,2021-01-01,7,57,50,8.53,0.28,0.04,10,0.76,3
SITE1030,Oncology,CRC,2021-07-30,93,2021-10-31,10,23,19,3.55,0.17,0.06,4,0.84,2
SITE1031,Oncology,NSCLC,2023-07-29,122,2023-11-28,13,30,33,2.12,0.13,0.06,8,0.86,2
SITE1031,Cardiology,AF,2017-09-22,66,2017-11-27,13,33,27,2.87,0.24,0.06,7,0.83,3
SITE1031,Cardiology,AF,2021-12-05,66,2022-02-09,15,6,7,0.2,0.13,0.01,9,0.86,4
SITE1031,Oncology,NSCLC,2018-02-25,44,2018-04-10,10,49,37,4.42,0.19,0.03,9,0.91,0
SITE1031,Oncology,NSCLC,2020-11-15,90,2021-02-13,5,54,56,10.0,0.08,0.04,2,0.99,0
SITE1031,Endocrinology,T2D,2019-02-11,53,2019-04-05,9,31,28,3.36,0.12,0.08,8,0.77,4
SITE1031,Endocrinology,Obesity,2018-10-13,45,2018-11-27,13,49,48,3.98,0.38,0.05,3,0.85,2
SITE1031,Oncology,Breast Cancer,2023-11-14,72,2024-01-25,8,52,59,7.86,0.16,0.05,1,0.99,0
SITE1032,Oncology,Prostate,2021-01-31,70,2021-04-11,11,49,45,4.4,0.1,0.01,7,0.96,4
SITE1032,Cardiology,AF,2021-09-27,73,2021-12-09,9,43,41,3.57,0.25,0.03,4,0.83,0
SITE1032,Endocrinology,Obesity,2017-10-29,41,2017-12-09,8,23,27,3.3,0.26,0.0,2,0.9,0
SITE1032,Oncology,Melanoma,2017-11-06,33,2017-12-09,15,54,54,2.75,0.09,0.06,4,0.88,2
SITE1032,Neurology,Epilepsy,2019-05-22,91,2019-08-21,8,34,22,4.04,0.21,0.05,3,0.76,0
SITE1032,Cardiology,AF,2021-03-11,58,2021-05-08,10,5,4,0.2,0.32,0.11,4,0.82,4
SITE1032,Oncology,CRC,2018-09-27,63,2018-11-29,5,55,50,10.0,0.25,0.03,8,0.83,2
SITE1032,Oncology,Prostate,2022-03-06,85,2022-05-30,8,47,49,4.19,0.33,0.05,7,0.94,4
SITE1033,Oncology,Melanoma,2021-05-26,96,2021-08-30,13,12,14,2.09,0.18,0.05,4,0.78,0
SITE1033,Endocrinology,Obesity,2018-02-01,101,2018-05-13,9,18,14,1.88,0.11,0.1,3,0.86,4
SITE1033,Oncology,Breast Cancer,2018-03-09,53,2018-05-01,15,42,47,2.52,0.11,0.08,6,0.98,3
SITE1033,Endocrinology,T2D,2024-08-06,73,2024-10-18,8,32,35,4.02,0.03,0.05,10,0.78,1
SITE1033,Oncology,Prostate,2022-05-07,63,2022-07-09,15,47,44,4.06,0.2,0.04,1,0.86,2
SITE1033,Endocrinology,Obesity,2019-01-02,28,2019-01-30,8,54,47,7.97,0.07,0.08,2,0.91,1
SITE1033,Endocrinology,Obesity,2017-03-25,70,2017-06-03,13,29,26,2.79,0.11,0.05,5,0.74,3
SITE1033,Oncology,NSCLC,2017-09-22,64,2017-11-25,8,42,40,4.59,0.18,0.04,6,0.84,3
SITE1033,Endocrinology,Obesity,2022-10-17,38,2022-11-24,3,24,25,7.65,0.19,0.01,6,0.87,1
SITE1034,Oncology,Prostate,2023-11-13,44,2023-12-27,8,16,12,1.97,0.13,0.09,7,0.79,2
SITE1034,Oncology,Melanoma,2024-08-16,34,2024-09-19,8,24,26,2.52,0.29,0.08,2,0.92,3
SITE1034,Oncology,Breast Cancer,2024-10-22,58,2024-12-19,12,21,23,3.04,0.19,0.04,12,0.67,4
SITE1034,Cardiology,ACS,2024-04-02,66,2024-06-07,5,8,8,2.4,0.22,0.09,4,0.78,1
SITE1034,Neurology,Epilepsy,2024-04-20,68,2024-06-27,8,59,59,6.61,0.1,0.02,3,0.85,2
SITE1035,Oncology,Melanoma,2021-08-08,37,2021-09-14,11,59,59,5.72,0.23,0.01,3,0.93,3
SITE1035,Oncology,Breast Cancer,2024-08-10,67,2024-10-16,11,9,16,0.2,0.22,0.02,8,0.99,4
SITE1036,Oncology,Breast Cancer,2021-04-27,84,2021-07-20,17,48,47,3.89,0.2,0.08,10,0.79,0
SITE1036,Oncology,Prostate,2019-07-01,94,2019-10-03,13,33,36,3.36,0.19,0.03,7,0.8,1
SITE1036,Neurology,MS,2018-05-24,67,2018-07-30,7,31,28,3.48,0.12,0.0,4,0.76,4
SITE1036,Oncology,Prostate,2018-04-19,51,2018-06-09,4,25,27,6.49,0.34,0.1,8,0.94,0
SITE1037,Oncology,CRC,2023-01-11,38,2023-02-18,8,48,43,6.28,0.34,0.11,5,0.85,1
SITE1037,Oncology,CRC,2019-06-11,87,2019-09-06,3,48,43,10.0,0.17,0.03,5,0.85,4
SITE1037,Oncology,NSCLC,2021-03-02,51,2021-04-22,6,14,10,1.4,0.37,0.01,8,0.79,0
SITE1037,Oncology,CRC,2024-06-29,78,2024-09-15,10,36,33,3.71,0.25,0.03,6,0.99,2
SITE1037,Neurology,Epilepsy,2019-03-11,39,2019-04-19,8,29,24,4.27,0.28,0.04,9,0.83,1
SITE1037,Cardiology,HF,2017-10-07,70,2017-12-16,11,55,50,5.04,0.21,0.06,9,0.99,3
SITE1038,Endocrinology,Obesity,2021-07-24,62,2021-09-24,7,31,36,3.78,0.15,0.0,10,0.83,0
SITE1038,Oncology,Melanoma,2021-11-27,37,2022-01-03,12,22,22,2.86,0.29,0.05,0,0.93,3
SITE1038,Endocrinology,T2D,2019-07-20,40,2019-08-29,8,56,43,8.53,0.19,0.06,10,0.99,1
SITE1038,Oncology,NSCLC,2024-06-03,55,2024-07-28,3,58,58,10.0,0.18,0.01,10,0.77,3
SITE1038,Neurology,MS,2018-12-17,154,2019-05-20,10,9,18,0.2,0.31,0.05,3,0.82,2
SITE1039,Oncology,Melanoma,2024-04-14,56,2024-06-09,11,23,14,3.29,0.28,0.05,4,0.92,0
SITE1039,Oncology,NSCLC,2021-05-25,75,2021-08-08,6,51,54,7.97,0.12,0.04,5,0.93,2
SITE1039,Oncology,CRC,2018-02-10,89,2018-05-10,9,43,44,4.08,0.11,0.0,7,0.8,3
SITE1039,Oncology,CRC,2019-11-21,75,2020-02-04,10,29,29,1.83,0.1,0.04,7,0.99,3
SITE1039,Oncology,Melanoma,2020-06-09,51,2020-07-30,9,52,58,6.47,0.08,0.06,1,0.79,4
SITE1039,Cardiology,AF,2020-12-31,101,2021-04-11,6,17,14,1.64,0.14,0.09,10,0.97,4
SITE1039,Oncology,CRC,2020-06-10,65,2020-08-14,10,8,5,0.2,0.13,0.11,7,0.85,2
SITE1039,Oncology,Prostate,2020-07-15,28,2020-08-12,7,41,41,5.28,0.29,0.07,7,0.94,0
SITE1040,Endocrinology,T2D,2021-11-23,59,2022-01-21,14,10,10,0.2,0.25,0.04,6,0.88,2
SITE1040,Oncology,Melanoma,2023-08-18,70,2023-10-27,6,59,60,10.0,0.22,0.03,7,0.81,1
SITE1040,Endocrinology,Obesity,2024-04-26,71,2024-07-06,11,42,43,3.16,0.09,0.07,6,0.99,0
SITE1040,Endocrinology,T2D,2022-03-01,65,2022-05-05,3,58,57,10.0,0.18,0.06,11,0.95,3
SITE1041,Oncology,Prostate,2018-02-09,89,2018-05-09,10,24,25,2.76,0.47,0.11,7,0.77,2
SITE1041,Oncology,Prostate,2022-04-12,98,2022-07-19,7,11,18,1.0,0.33,0.04,6,0.9,3
SITE1041,Oncology,Breast Cancer,2017-07-25,87,2017-10-20,12,56,53,3.9,0.13,0.07,12,0.83,1
SITE1041,Endocrinology,Obesity,2022-08-28,60,2022-10-27,8,15,10,1.24,0.27,0.09,2,0.9,1
SITE1041,Oncology,Melanoma,2024-08-29,42,2024-10-10,9,41,43,4.26,0.22,0.06,10,0.92,4
SITE1041,Oncology,Prostate,2017-08-11,92,2017-11-11,4,18,15,4.51,0.06,0.02,1,0.89,1
SITE1041,Oncology,Melanoma,2019-05-12,80,2019-07-31,12,22,19,2.24,0.1,0.02,3,0.87,4
SITE1041,Cardiology,AF,2019-08-15,92,2019-11-15,9,46,39,4.47,0.14,0.08,2,0.91,1
SITE1041,Oncology,CRC,2017-01-27,28,2017-02-24,17,36,33,2.27,0.13,0.04,3,0.84,4
SITE1041,Endocrinology,Obesity,2022-03-18,55,2022-05-12,15,44,39,3.39,0.17,0.01,5,0.99,3
SITE1041,Oncology,Melanoma,2020-12-23,65,2021-02-26,8,51,42,7.63,0.07,0.04,8,0.99,4
SITE1041,Oncology,Melanoma,2019-10-31,82,2020-01-21,8,15,22,1.61,0.16,0.07,0,0.8,1
